level,itl,name,year,GVA per Hour,Change in GVA per hour
ITL3,TLL24,Powys,2005,16.6,112.1
ITL1,TLM,Scotland,2005,23.7,85
ITL2,TLM5,North Eastern Scotland,2005,24.4,80
ITL3,TLM50,Aberdeen City and Aberdeenshire,2005,24.4,80.6
ITL2,TLM6,Highlands and Islands,2005,23.2,91.1
ITL3,TLM61,"Caithness and Sutherland, and Ross and Cromarty",2005,22.4,83.9
ITL3,TLM62,"Inverness and Nairn, Moray, Badenoch and Strathspey",2005,23.8,91
ITL3,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2005,23.8,108
ITL3,TLM64,Na h-Eileanan Siar,2005,18.8,74.2
ITL3,TLM65,Orkney Islands,2005,25.4,102.8
ITL3,TLM66,Shetland Islands,2005,23.1,76.8
ITL2,TLM7,Eastern Scotland,2005,25.2,83.3
ITL3,TLM71,Angus and Dundee City,2005,21.2,82
ITL3,TLM72,Clackmannanshire and Fife,2005,22.2,76.7
ITL3,TLM73,East Lothian and Midlothian,2005,20.9,83.3
ITL3,TLM75,City of Edinburgh,2005,28.4,82.6
ITL3,TLM76,Falkirk,2005,27.1,98.8
ITL3,TLM77,"Perth and Kinross, and Stirling",2005,25.9,98
ITL3,TLM78,West Lothian,2005,24.6,79.3
ITL2,TLM8,West Central Scotland,2005,22.3,83.2
ITL3,TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2005,22.7,87.4
ITL3,TLM82,Glasgow City,2005,21.5,86.2
ITL3,TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",2005,22.7,76.9
ITL3,TLM84,North Lanarkshire,2005,24.3,80.8
ITL2,TLM9,Southern Scotland,2005,22.7,97.4
ITL3,TLM91,Scottish Borders,2005,20.9,91
ITL3,TLM92,Dumfries and Galloway,2005,24.5,102.9
ITL3,TLM93,East Ayrshire and North Ayrshire mainland,2005,22.2,102.3
ITL3,TLM94,South Ayrshire,2005,24,107.6
ITL3,TLM95,South Lanarkshire,2005,22.3,92.1
ITL1,TLN,Northern Ireland,2005,20.6,93.7
ITL2,TLN0,Northern Ireland,2005,20.6,93.7
ITL3,TLN06,Belfast,2005,20.8,82.1
ITL3,TLN07,"Armagh City, Banbridge and Craigavon",2005,18.1,94.8
